Japanese,English
ひとつ,one (thing)
ふたつ,two (things)
これ,"this, this one"
すいようび,Wednesday
あれ,that over there
さき,"ahead, first"
ようか,"eight days, 8th of the month"
そば,"side, vicinity"
みぎ,right
ここ,here
とても,very
て,hand
おなか,stomach
ついたち,1st of the month
にちようび,Sunday
ななつ,seven (things)
どれ,"what, which"
すき,"favorite, liked"
ひとり,"one, one person"
ともだち,"friend, companion"
かえる,"return, go back"
げんき,"healthy, energetic"
てんき,weather
はれる,"be sunny, clear up"
うえ,"up, above"
ドア,door
くち,mouth
しめる,"shut, close"
じかん,"time, hour"
むいか,"six days, 6th of the month"
とおか,"ten days, 10th of the month"
ごぜん,"morning, a.m."
こんばん,"this evening, tonight"
どようび,Saturday
きんようび,Friday
よる,night (from sunset to sunrise)
たべる,eat
なに,"what, which"
ばん,evening (usually from sunset to bedtime)
みっつ,three (things)
ひる,"daytime, midday"
それ,"that, that one"
おとこ,"man, male"
こんしゅう,this week
あう,meet
げつようび,Monday
きのう,yesterday
やすむ,"take a day off, take a break"
きょう,today
もくようび,Thursday
つける,switch on
えき,railway station
あるく,"walk, go on foot"
ちかく,"near, close to"
もっと,more
ちかい,"near, soon"
ちかく,"vicinity, nearby"
ぜんぶ,"all, wholly"
くに,country
かんじ,"character, kanji"
あかい,red
どちら,which
まずい,"bad-tasting, bad"
つくる,"make, create"
つかう,use
けす,"switch off, turn off"
しまる,"be shut, be closed"
まえ,"front, before"
みせ,"shop, store"
へや,room
なつ,summer
あつい,"hot, warm (temperature of the air)"
あつい,"hot (things, touch)"
ふゆ,winter
はいる,enter
さむい,cold (temperature of the air)
はる,spring
あたたかい,warm
テーブル,table
ふるい,old
わるい,bad
そう,"in such manner, that way"
どう,"how, what"
たかい,"high, tall"
ごご,"afternoon, p.m."
おもい,heavy
ここのか,"nine days, 9th of the month"
まつ,"wait, wait for"
ふつか,"two days, 2nd of the month"
もつ,"have, possess"
あさ,morning
せんせい,teacher
でんしゃ,train
し,four
とおい,"far, distant"
なまえ,name
だいがく,"university, college"
べんきょう,study
つよい,strong
ひく,"draw, pull"
しつもん,question
むずかしい,difficult
とる,"take, get"
に,two
はち,eight
とけい,"clock, watch"
やっつ,eight (things)
せん,thousand
よっか,"four days, 4th of the month"
かう,buy
じゅう,ten
いる,"need, require"
わすれる,"forget, leave behind"
のる,"ride, take"
きる,"wear, put on"
そこ,there
つぎ,next
でる,"go out, leave"
はやい,early
おそい,"slow, late"
がっこう,school
いち,one
はじまる,begin
きょねん,last year
きる,cut
みっか,"three days, 3rd of the month"
みる,"see, look at"
のみもの,"beverage, drink"
あと,after
みせる,show
いろ,color
みち,"road, street"
ひだり,left
ことし,this year
ご,five
いく,go
としょかん,library
やすい,"inexpensive, cheap"
ふく,clothes
あける,"open, unlock"
おとうさん,father
ちち,(speaker's)father
はなす,"speak, tell"
はは,(speaker's)mother
